AdaDate,AdaOpen,AdaHigh,AdaLow,AdaClose,AgcDate,AgcOpen,AgcHigh,AgcLow,AgcClose,AlkDate,AlkOpen,AlkHigh,AlkLow,AlkClose,GmmDate,GmmOpen,GmmHigh,GmmLow,GmmClose,IolDate,IolOpen,IolHigh,IolLow,IolClose
22-05-2019,44.2,44.25,42.45,43.95,22-05-2019,101.75,101.95,99.95,101.45,22-05-2019,795,801,770,786.67,22-05-2019,1150,1226,1150,1214,22-05-2019,182.95,182.95,178.05,179.9
23-05-2019,46,47.4,43.05,43.4,23-05-2019,101.9,103.85,98.05,98.8,23-05-2019,801,822.1,780.3,777.13,23-05-2019,1219,1249.9,1212.25,1230.43,23-05-2019,184,191.85,181.5,185.6
24-05-2019,44,44.3,41.5,42.3,24-05-2019,99,108.6,99,107.25,24-05-2019,802.95,805,789,781.16,24-05-2019,1240,1290.05,1228,1269.47,24-05-2019,187.35,209,187,207.85
27-05-2019,42.55,44,42.3,43.15,27-05-2019,116.4,117.7,110,115,27-05-2019,790.45,806.05,789.75,784.21,27-05-2019,1275,1306.9,1255.1,1293.27,27-05-2019,211,227.5,211,225
28-05-2019,43.5,46.6,43.05,45,28-05-2019,113.15,115.4,110,110.75,28-05-2019,818.95,818.95,790.6,781.95,28-05-2019,1305,1372,1289.85,1354.26,28-05-2019,229,232.65,223.1,231.3
29-05-2019,45.2,46,44.2,44.7,29-05-2019,110.55,116.55,110,111.95,29-05-2019,792.4,810.55,790.7,787.06,29-05-2019,1375.9,1397,1344.7,1359.64,29-05-2019,232,233.3,221.1,227.75
30-05-2019,44.9,45.2,44.25,44.6,30-05-2019,112.1,122.9,110,112.15,30-05-2019,875,875,796.05,809.82,30-05-2019,1365.35,1393,1340,1357,30-05-2019,234.7,235,216.5,219.1
31-05-2019,44.8,45,41.95,43.3,31-05-2019,112.05,114.35,110,110.05,31-05-2019,827.1,829.95,819.55,813.26,31-05-2019,1340,1340.05,1249.3,1259.11,31-05-2019,217.9,223.9,212.1,214.15
03-06-2019,43.55,45.1,42.05,44.1,03-06-2019,110.05,112.45,109,110,03-06-2019,820.7,874,819.55,847.22,03-06-2019,1279.9,1292,1234.9,1280.82,03-06-2019,213,216.5,209,213.7
04-06-2019,43.9,46.15,43.6,45.2,04-06-2019,110,116.9,110,114.85,04-06-2019,861,861,832.15,825.2,04-06-2019,1290.85,1290.9,1228.3,1245.12,04-06-2019,211.8,224.95,209.9,221.35
06-06-2019,45.65,45.9,44.15,44.35,06-06-2019,115.35,115.35,109.1,110.35,06-06-2019,847.65,847.65,816,804.51,06-06-2019,1249.9,1300,1235.9,1280.67,06-06-2019,223.45,231,222,223.55
07-06-2019,44.45,44.75,43,43.25,07-06-2019,110,114,110,110.5,07-06-2019,859.95,859.95,818.05,805.84,07-06-2019,1295.9,1397,1278.1,1373.53,07-06-2019,225,226.9,211.6,215.85
10-06-2019,43.95,44.1,42.8,42.9,10-06-2019,110.15,114,110,110,10-06-2019,809,838.1,809,812.47,10-06-2019,1390,1449.8,1362.35,1432.43,10-06-2019,217.5,219.9,211.4,212.4
11-06-2019,42.9,43.15,42,42.55,11-06-2019,109.85,114,106.7,111.55,11-06-2019,817.05,825.95,814.95,807.46,11-06-2019,1450,1490,1449,1459.07,11-06-2019,212,216.5,206.2,210.15
12-06-2019,42.95,43.7,42.95,43.15,12-06-2019,110.05,113,110,110.05,12-06-2019,821.4,825,810,806.67,12-06-2019,1462.15,1474,1429.5,1457.33,12-06-2019,211,215.2,207.1,208.2
13-06-2019,43.3,43.7,42.1,43.4,13-06-2019,110.15,111.85,110,110,13-06-2019,820.55,820.55,801,795.46,13-06-2019,1453.4,1456.15,1428,1443.24,13-06-2019,208.1,209.45,204.8,205.7
14-06-2019,43.2,44.1,42.5,42.6,14-06-2019,110.15,110.6,110,110,14-06-2019,802,826.05,801.95,799.2,14-06-2019,1475.95,1475.95,1410,1414.86,14-06-2019,205.7,206.75,197.5,199.55
17-06-2019,42.3,43.05,41.35,41.65,17-06-2019,110.2,110.9,109.75,110.05,17-06-2019,812.95,824.25,805,795.91,17-06-2019,1437.95,1437.95,1322.2,1330.81,17-06-2019,199.55,199.55,183.3,184.85
18-06-2019,41.65,42.3,40.3,40.8,18-06-2019,110.05,110.05,104.1,107,18-06-2019,799,819,799,802.35,18-06-2019,1320.4,1375,1320.4,1357.55,18-06-2019,186.6,197,186.55,192.3
19-06-2019,40.8,41.9,38.6,39.75,19-06-2019,110.05,111.5,110,110,19-06-2019,815,822,811.05,800.13,19-06-2019,1371.95,1400,1350,1356.25,19-06-2019,195.1,197.8,186.7,187.75
20-06-2019,40.9,42,40.3,40.95,20-06-2019,110.05,111.25,110,111.15,20-06-2019,803,850,803,825.65,20-06-2019,1356.05,1357,1311.15,1338.53,20-06-2019,188,190.8,183.7,189.6
21-06-2019,41.25,42.15,40.6,41.25,21-06-2019,110,113.75,110,112.1,21-06-2019,840,840,809,806.13,21-06-2019,1346.35,1354.75,1320,1318.21,21-06-2019,188,191.8,186.7,188.5
24-06-2019,41.6,41.65,40.45,41.15,24-06-2019,113.9,113.9,108.3,109.55,24-06-2019,816,819.95,802.1,790.06,24-06-2019,1343.75,1343.75,1314.2,1324.09,24-06-2019,190.1,190.95,185,185.55
25-06-2019,40.75,41.95,40.75,41.35,25-06-2019,110.05,111.25,110,110,25-06-2019,809,819.95,803,791.83,25-06-2019,1317.05,1329,1302.2,1305.87,25-06-2019,186,194.45,183.5,191.25
26-06-2019,41.5,41.8,41.1,41.5,26-06-2019,112.9,112.9,110,110.05,26-06-2019,805.45,810,801.2,792.71,26-06-2019,1322.95,1322.95,1302.2,1310,26-06-2019,191.95,194.65,189.1,189.9
27-06-2019,41.6,43.25,41.4,42.35,27-06-2019,110.1,116,109,109.05,27-06-2019,805.35,822,801,802.3,27-06-2019,1321.65,1339.9,1312.05,1326.58,27-06-2019,191,195.6,191,194.5
28-06-2019,42.8,45.75,42.6,44.4,28-06-2019,110.2,111.4,110,110,28-06-2019,811,825,810.1,806.23,28-06-2019,1342,1355,1322,1346.4,28-06-2019,195.9,211.8,194.65,209.85
01-07-2019,44.95,46.1,44.45,45.5,01-07-2019,111.65,115.15,108.1,111.9,01-07-2019,830,837,808.05,817.53,01-07-2019,1360.95,1398,1340,1375.87,01-07-2019,214,226.5,209.6,224.45
02-07-2019,45.75,52.15,45.65,50.2,02-07-2019,113.85,113.85,110,110,02-07-2019,824,834.95,820.2,814,02-07-2019,1399.8,1399.8,1350.3,1356.11,02-07-2019,226,227.8,218.15,220
03-07-2019,50.75,54,50.5,52,03-07-2019,110.2,112.15,110,110.05,03-07-2019,820,841,820,825.25,03-07-2019,1350.3,1372.75,1350,1361.83,03-07-2019,221.7,223.35,210.5,211.6
04-07-2019,52.5,53.4,50.25,51.05,04-07-2019,110.35,116.65,110,115.6,04-07-2019,845,848,830.55,822.06,04-07-2019,1370.95,1378.05,1338,1336.99,04-07-2019,212,217.45,210.1,213.45
